,clust,State,Customer Lifetime Value,Response,Coverage,Education,Effective To Date,EmploymentStatus,Gender,Income,Location Code,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Policy Type,Policy,Renew Offer Type,Sales Channel,Total Claim Amount,Vehicle Class,Vehicle Size
2881,2,Oregon,5754.853121,No,Basic,High School or Below,3/2/2011,Employed,F,29460,Rural,Married,72.0,3,18,0.0,5.0,Personal Auto,Personal L3,Offer2,Branch,29.303915000000003,Four-Door Car,Large
2882,0,Oregon,10244.2435,No,Extended,College,2/19/11,Unemployed,F,0,Suburban,Single,94.0,23,34,0.0,2.0,Personal Auto,Personal L1,Offer3,Agent,451.2,Four-Door Car,Medsize
2883,1,California,4645.569555,No,Basic,Master,2/13/11,Employed,M,42532,Rural,Single,118.0,13,32,0.0,1.0,Personal Auto,Personal L3,Offer1,Call Center,200.641734,Sports Car,Medsize
2884,1,California,4887.344365999999,No,Basic,High School or Below,2/26/11,Employed,F,66707,Rural,Married,61.0,19,24,0.0,8.0,Personal Auto,Personal L3,Offer4,Agent,71.980757,Two-Door Car,Large
2885,1,Washington,2497.808174,No,Basic,Bachelor,1/2/2011,Employed,M,68041,Urban,Single,64.0,10,47,0.0,1.0,Personal Auto,Personal L2,Offer4,Branch,165.570243,Two-Door Car,Medsize
2886,0,Arizona,2369.1115879999998,No,Basic,Bachelor,5/2/2011,Unemployed,M,0,Suburban,Single,65.0,8,91,0.0,1.0,Corporate Auto,Corporate L2,Offer3,Call Center,468.0,Four-Door Car,Medsize
2887,0,California,4490.597249,No,Basic,Bachelor,2/17/11,Unemployed,M,0,Suburban,Divorced,64.0,26,11,0.0,7.0,Personal Auto,Personal L3,Offer1,Web,307.2,Four-Door Car,Medsize
2888,2,Arizona,3719.247732,No,Extended,High School or Below,7/1/2011,Employed,M,40968,Suburban,Divorced,97.0,29,53,0.0,1.0,Personal Auto,Personal L3,Offer1,Agent,465.6,Four-Door Car,Large
2889,2,Nevada,4198.030022999999,No,Basic,Bachelor,8/2/2011,Employed,M,39913,Urban,Married,106.0,16,61,0.0,1.0,Personal Auto,Personal L3,Offer1,Agent,344.765129,SUV,Small
2890,2,California,2420.711888,No,Basic,Bachelor,7/2/2011,Employed,M,31710,Urban,Divorced,62.0,5,29,0.0,1.0,Corporate Auto,Corporate L3,Offer1,Call Center,199.551735,Two-Door Car,Medsize
2891,0,California,4462.9970060000005,Yes,Basic,Bachelor,1/30/11,Unemployed,F,0,Suburban,Single,73.0,35,52,0.0,5.0,Personal Auto,Personal L3,Offer1,Web,350.4,Two-Door Car,Medsize
2892,3,California,6291.655714,No,Extended,Bachelor,5/1/2011,Employed,F,89113,Urban,Married,78.0,18,68,0.0,8.0,Personal Auto,Personal L3,Offer3,Branch,219.36264300000002,Four-Door Car,Medsize
2893,0,Arizona,4270.034393999999,Yes,Extended,College,1/19/11,Unemployed,M,0,Suburban,Married,122.0,27,2,0.0,1.0,Personal Auto,Personal L3,Offer2,Agent,725.870693,SUV,Medsize
2894,0,California,2460.665175,No,Basic,Bachelor,9/1/2011,Unemployed,F,0,Suburban,Married,67.0,30,13,0.0,1.0,Personal Auto,Personal L1,Offer4,Call Center,321.6,Four-Door Car,Large
2895,2,Arizona,16414.039911750002,No,Extended,High School or Below,1/2/2011,Employed,F,38688,Suburban,Single,170.5,22,6,0.0,3.0,Special Auto,Special L3,Offer1,Agent,2294.631639,Luxury Car,Medsize
2896,0,Oregon,7374.077920999999,No,Basic,College,9/1/2011,Unemployed,F,0,Suburban,Married,110.0,19,87,0.0,3.0,Personal Auto,Personal L2,Offer1,Web,528.0,SUV,Medsize
2897,0,California,16414.039911750002,No,Extended,Bachelor,2/1/2011,Unemployed,F,0,Suburban,Single,127.0,18,97,0.0,2.0,Corporate Auto,Corporate L3,Offer1,Agent,609.6,SUV,Medsize
2898,2,Oregon,11925.71535,No,Basic,High School or Below,1/17/11,Employed,M,28014,Suburban,Single,104.0,14,37,0.0,2.0,Personal Auto,Personal L2,Offer4,Branch,631.594469,SUV,Small
2899,0,Nevada,4223.274671,No,Basic,College,2/1/2011,Disabled,F,14170,Suburban,Married,109.0,9,10,0.0,1.0,Personal Auto,Personal L3,Offer1,Agent,523.2,SUV,Medsize
2900,1,Oregon,10298.385859999999,No,Extended,High School or Below,1/31/11,Employed,M,64825,Urban,Married,129.0,1,78,0.0,4.0,Personal Auto,Personal L3,Offer2,Web,359.48434199999997,SUV,Medsize
2901,3,California,5229.741907,No,Basic,Bachelor,2/27/11,Employed,M,77357,Rural,Single,67.0,24,38,0.0,8.0,Personal Auto,Personal L2,Offer3,Web,29.884536999999998,Four-Door Car,Medsize
2902,2,Nevada,2402.81597,No,Basic,Bachelor,1/15/11,Employed,M,21629,Suburban,Divorced,62.0,19,54,0.0,1.0,Corporate Auto,Corporate L2,Offer1,Call Center,298.626189,Two-Door Car,Small
2903,2,Washington,3933.8139929999998,Yes,Basic,High School or Below,1/23/11,Employed,M,25927,Suburban,Single,103.0,6,20,0.0,1.0,Personal Auto,Personal L3,Offer2,Web,674.973614,SUV,Medsize
2904,1,Oregon,4299.8388350000005,No,Premium,College,2/13/11,Employed,M,44388,Urban,Divorced,113.0,10,74,0.0,1.0,Personal Auto,Personal L2,Offer1,Call Center,496.843023,Four-Door Car,Medsize
2905,1,Oregon,7635.554626,No,Basic,College,8/1/2011,Employed,F,54539,Urban,Married,63.0,5,74,0.0,2.0,Personal Auto,Personal L2,Offer3,Agent,287.453171,Four-Door Car,Medsize
2906,2,California,2722.210707,Yes,Basic,College,2/2/2011,Medical Leave,F,17576,Suburban,Married,71.0,29,70,0.0,1.0,Corporate Auto,Corporate L2,Offer2,Call Center,398.502948,Four-Door Car,Medsize
2907,3,Arizona,7291.599536,No,Extended,Master,4/2/2011,Employed,F,84629,Urban,Married,90.0,19,17,0.0,5.0,Personal Auto,Personal L3,Offer2,Web,411.671832,Four-Door Car,Large
2908,2,Arizona,16414.039911750002,No,Premium,Bachelor,6/1/2011,Employed,F,24964,Suburban,Married,170.5,0,84,0.0,2.0,Personal Auto,Personal L2,Offer2,Agent,888.0,SUV,Medsize
2909,1,Oregon,5261.037541,No,Basic,High School or Below,11/1/2011,Employed,F,43573,Suburban,Married,66.0,30,64,0.0,5.0,Personal Auto,Personal L3,Offer1,Agent,409.684798,Two-Door Car,Large
2910,0,Arizona,16414.039911750002,No,Basic,College,2/21/11,Unemployed,F,0,Suburban,Single,69.0,24,99,0.0,2.0,Corporate Auto,Corporate L1,Offer1,Branch,340.78015600000003,Four-Door Car,Medsize
2911,0,Oregon,10575.94816,No,Premium,College,1/17/11,Unemployed,M,0,Suburban,Single,105.0,7,91,0.0,2.0,Special Auto,Special L2,Offer3,Call Center,756.0,Four-Door Car,Medsize
2912,2,Oregon,5552.331515,No,Basic,College,2/28/11,Employed,F,35011,Urban,Married,70.0,7,91,0.0,8.0,Personal Auto,Personal L3,Offer4,Call Center,215.72846800000002,Four-Door Car,Large
2913,1,Oregon,7150.225367,No,Extended,Bachelor,2/22/11,Employed,M,63651,Rural,Single,92.0,19,10,0.0,3.0,Personal Auto,Personal L3,Offer2,Branch,224.71183599999998,Four-Door Car,Large
2914,3,Washington,8717.049833,Yes,Basic,College,2/14/11,Employed,M,83846,Suburban,Married,74.0,22,94,0.0,2.0,Personal Auto,Personal L2,Offer2,Agent,355.2,Four-Door Car,Large
2915,0,California,6847.588918,No,Basic,Bachelor,1/14/11,Unemployed,M,0,Suburban,Married,170.5,2,70,0.0,1.0,Personal Auto,Personal L3,Offer2,Web,1317.008182,Luxury SUV,Medsize
2916,2,Nevada,5418.726537,No,Basic,College,3/1/2011,Employed,F,39133,Rural,Married,67.0,25,26,0.0,3.0,Personal Auto,Personal L3,Offer1,Call Center,90.524457,Four-Door Car,Medsize
2917,2,California,3528.044252,Yes,Extended,Doctor,1/2/2011,Employed,M,31278,Suburban,Married,92.0,24,95,0.0,1.0,Personal Auto,Personal L3,Offer1,Branch,441.6,Two-Door Car,Medsize
2918,0,California,16414.039911750002,Yes,Basic,High School or Below,1/27/11,Unemployed,F,0,Suburban,Divorced,63.0,4,52,0.0,2.0,Personal Auto,Personal L1,Offer2,Agent,685.12694,Four-Door Car,Medsize
2919,1,Oregon,7285.030983,Yes,Basic,High School or Below,2/28/11,Employed,M,44788,Suburban,Married,61.0,6,48,0.0,2.0,Personal Auto,Personal L3,Offer2,Agent,386.031248,Four-Door Car,Small
2920,0,Oregon,16414.039911750002,No,Basic,Bachelor,12/2/2011,Unemployed,F,0,Suburban,Divorced,117.0,26,33,0.0,2.0,Corporate Auto,Corporate L2,Offer1,Call Center,561.6,SUV,Medsize
2921,1,California,5807.659307,No,Basic,College,7/1/2011,Employed,F,62447,Rural,Single,74.0,9,2,0.0,7.0,Personal Auto,Personal L3,Offer4,Call Center,133.977857,Two-Door Car,Medsize
2922,2,Oregon,5068.264582,No,Basic,College,7/2/2011,Employed,M,31475,Rural,Married,64.0,6,3,0.0,3.0,Personal Auto,Personal L2,Offer3,Call Center,22.962412,Four-Door Car,Medsize
2923,3,Nevada,8797.829644,No,Basic,College,2/28/11,Employed,F,80780,Rural,Married,109.0,26,11,0.0,3.0,Corporate Auto,Corporate L3,Offer2,Agent,3.55,SUV,Medsize
2924,3,Oregon,4439.900652,No,Basic,Bachelor,12/2/2011,Employed,F,88613,Urban,Divorced,111.0,5,59,0.0,1.0,Personal Auto,Personal L3,Offer1,Branch,359.36848,SUV,Small
2925,1,California,2404.459452,No,Basic,College,11/2/2011,Employed,M,45949,Rural,Single,62.0,0,70,0.0,1.0,Corporate Auto,Corporate L3,Offer1,Agent,110.55606200000001,Two-Door Car,Medsize
2926,2,Arizona,5066.634057,No,Basic,Bachelor,1/13/11,Employed,F,35596,Suburban,Married,64.0,11,92,0.0,3.0,Personal Auto,Personal L2,Offer1,Agent,307.2,Two-Door Car,Medsize
2927,3,California,5890.528762,No,Basic,High School or Below,1/15/11,Employed,M,76875,Rural,Married,73.0,21,4,0.0,8.5,Personal Auto,Personal L3,Offer3,Agent,17.375878,Four-Door Car,Medsize
2928,2,California,2410.498573,No,Basic,Bachelor,1/16/11,Employed,M,41842,Suburban,Married,61.0,1,14,0.0,1.0,Corporate Auto,Corporate L3,Offer2,Call Center,292.8,Two-Door Car,Medsize
2929,2,California,5288.240125,No,Basic,Bachelor,11/2/2011,Medical Leave,M,28884,Suburban,Married,72.0,27,9,0.0,3.0,Corporate Auto,Corporate L3,Offer2,Agent,518.4,Four-Door Car,Medsize
2930,2,Arizona,16414.039911750002,No,Extended,High School or Below,2/24/11,Employed,F,24631,Suburban,Married,83.0,25,87,0.0,2.0,Personal Auto,Personal L3,Offer2,Web,398.4,Four-Door Car,Large
2931,0,Nevada,16236.47626,No,Basic,College,6/1/2011,Unemployed,F,0,Suburban,Single,74.0,24,54,0.0,2.0,Personal Auto,Personal L2,Offer2,Branch,680.753091,Four-Door Car,Medsize
2932,3,Arizona,5534.576395,No,Basic,Bachelor,5/1/2011,Employed,F,71560,Urban,Married,69.0,14,46,0.0,5.0,Personal Auto,Personal L1,Offer2,Web,178.700204,Two-Door Car,Medsize
2933,0,Nevada,9202.638441,No,Extended,Master,1/25/11,Unemployed,M,0,Suburban,Married,80.0,8,71,0.0,2.0,Personal Auto,Personal L3,Offer1,Agent,384.0,Four-Door Car,Medsize
2934,3,Oregon,2592.437797,Yes,Basic,High School or Below,2/1/2011,Employed,M,72421,Suburban,Married,65.0,8,23,0.0,1.0,Personal Auto,Personal L3,Offer2,Call Center,312.0,Four-Door Car,Small
2935,1,Arizona,8019.856041,No,Premium,Master,7/2/2011,Employed,F,54702,Suburban,Married,170.5,5,42,0.0,1.0,Personal Auto,Personal L3,Offer4,Agent,955.2,SUV,Medsize
2936,0,California,6943.7415980000005,No,Extended,High School or Below,2/24/11,Unemployed,F,0,Suburban,Single,76.0,4,43,0.0,2.0,Special Auto,Special L2,Offer1,Agent,547.2,Four-Door Car,Large
2937,1,Oregon,13367.86562,No,Basic,High School or Below,1/28/11,Employed,F,57335,Suburban,Married,67.0,22,18,0.0,2.0,Personal Auto,Personal L1,Offer4,Agent,407.887715,Two-Door Car,Medsize
2938,0,Arizona,5885.335302,No,Basic,College,9/1/2011,Unemployed,M,0,Suburban,Single,67.0,9,20,0.0,2.0,Personal Auto,Personal L3,Offer1,Agent,482.4,Two-Door Car,Medsize
2939,2,California,3479.7601649999997,No,Extended,High School or Below,8/1/2011,Employed,M,35033,Suburban,Married,87.0,26,53,0.0,1.0,Personal Auto,Personal L2,Offer1,Agent,490.638202,Two-Door Car,Small
2940,1,Arizona,9103.8997,No,Premium,College,4/2/2011,Employed,M,65733,Suburban,Married,113.0,13,6,0.0,3.0,Personal Auto,Personal L2,Offer2,Agent,684.9485269999999,Four-Door Car,Medsize
2941,0,California,4813.284447,No,Basic,Bachelor,2/27/11,Unemployed,M,0,Suburban,Single,69.0,30,44,0.0,3.0,Special Auto,Special L3,Offer1,Agent,472.611522,Four-Door Car,Medsize
2942,0,Arizona,9575.7578,No,Extended,College,6/2/2011,Unemployed,F,0,Suburban,Single,88.0,3,64,0.0,2.0,Personal Auto,Personal L3,Offer4,Web,633.6,Four-Door Car,Medsize
2943,2,Arizona,13736.1325,Yes,Premium,Master,2/13/11,Disabled,F,16181,Suburban,Divorced,170.5,22,79,0.0,8.0,Personal Auto,Personal L2,Offer1,Web,1261.319869,SUV,Medsize
2944,3,Nevada,8090.884414,No,Basic,High School or Below,3/1/2011,Employed,M,86180,Rural,Divorced,69.0,11,43,0.0,2.0,Personal Auto,Personal L1,Offer4,Branch,48.051339,Four-Door Car,Large
2945,2,Arizona,8267.119555,No,Basic,High School or Below,1/19/11,Employed,M,36881,Suburban,Married,104.0,5,25,0.0,3.0,Special Auto,Special L3,Offer1,Agent,499.2,SUV,Medsize
2946,1,Oregon,2489.16729,No,Basic,High School or Below,1/26/11,Employed,F,47888,Suburban,Single,64.0,23,16,0.0,1.0,Personal Auto,Personal L1,Offer1,Web,545.083116,Four-Door Car,Small
2947,2,Oregon,2395.57,Yes,Basic,Doctor,1/27/11,Disabled,F,21986,Suburban,Divorced,63.0,1,9,0.0,1.0,Personal Auto,Personal L1,Offer2,Branch,333.69622799999996,Two-Door Car,Medsize
2948,1,Washington,3863.309585,No,Basic,College,1/17/11,Employed,F,47199,Suburban,Married,100.0,3,65,0.0,1.0,Corporate Auto,Corporate L3,Offer2,Call Center,480.0,SUV,Medsize
2949,0,Oregon,5173.485318999999,No,Basic,College,1/22/11,Unemployed,F,0,Suburban,Married,69.0,30,69,0.0,8.5,Personal Auto,Personal L2,Offer1,Call Center,331.2,Four-Door Car,Medsize
2950,3,California,4984.618654999999,Yes,Basic,Bachelor,11/1/2011,Employed,M,86305,Rural,Married,62.0,1,99,0.0,5.0,Personal Auto,Personal L3,Offer2,Call Center,80.73124,Four-Door Car,Medsize
2951,2,Washington,2396.192355,No,Basic,High School or Below,1/31/11,Employed,F,39062,Suburban,Divorced,61.0,2,20,0.0,1.0,Corporate Auto,Corporate L3,Offer2,Agent,346.991025,Two-Door Car,Medsize
2952,2,California,2631.87754,No,Basic,College,8/1/2011,Disabled,F,16976,Urban,Married,69.0,23,54,0.0,1.0,Personal Auto,Personal L3,Offer1,Agent,238.95252799999997,Four-Door Car,Medsize
2953,0,California,6993.838856,No,Basic,High School or Below,1/22/11,Unemployed,F,0,Suburban,Single,65.0,29,35,0.0,2.0,Corporate Auto,Corporate L2,Offer1,Call Center,468.0,Four-Door Car,Medsize
2954,3,Arizona,15055.538359999999,No,Basic,College,2/18/11,Employed,M,83283,Rural,Single,170.5,11,46,0.0,3.0,Personal Auto,Personal L2,Offer3,Branch,273.70270899999997,Luxury Car,Medsize
2955,2,California,3401.881747,No,Extended,High School or Below,1/21/11,Employed,M,41972,Suburban,Divorced,86.0,20,23,0.0,1.0,Personal Auto,Personal L3,Offer2,Branch,691.709371,Four-Door Car,Medsize
2956,2,California,4126.61326,No,Premium,College,2/20/11,Employed,M,34080,Rural,Married,107.0,11,48,0.0,1.0,Personal Auto,Personal L3,Offer4,Branch,220.64441800000003,Four-Door Car,Medsize
2957,0,California,4462.9970060000005,Yes,Basic,Bachelor,1/30/11,Unemployed,F,0,Suburban,Single,73.0,35,52,0.0,5.0,Corporate Auto,Corporate L3,Offer1,Web,350.4,Two-Door Car,Medsize
2958,2,California,9320.090224,No,Extended,College,1/13/11,Employed,M,40269,Urban,Married,81.0,0,71,0.0,2.0,Personal Auto,Personal L2,Offer2,Agent,329.980754,Four-Door Car,Medsize
2959,1,Oregon,3663.7401979999995,No,Extended,Bachelor,4/1/2011,Employed,F,61894,Suburban,Divorced,91.0,3,21,0.0,1.0,Corporate Auto,Corporate L2,Offer2,Web,436.8,Four-Door Car,Medsize
2960,2,California,4962.208409000001,No,Basic,College,2/2/2011,Employed,F,23300,Suburban,Married,63.0,3,35,0.0,4.0,Corporate Auto,Corporate L3,Offer3,Branch,339.906034,Four-Door Car,Small
2961,1,Oregon,2816.758764,No,Basic,Bachelor,3/2/2011,Employed,F,66023,Urban,Married,70.0,11,94,0.0,1.0,Personal Auto,Personal L3,Offer1,Branch,265.629611,Two-Door Car,Medsize
2962,2,Arizona,4330.769101,No,Basic,Bachelor,2/27/11,Employed,F,39660,Urban,Married,107.0,3,46,0.0,1.0,Corporate Auto,Corporate L2,Offer1,Agent,416.8496,Sports Car,Small
2963,0,Nevada,8262.879764,No,Extended,College,2/13/11,Unemployed,F,0,Rural,Married,76.0,4,51,0.0,2.0,Personal Auto,Personal L2,Offer1,Agent,32.508635,Four-Door Car,Medsize
2964,1,Oregon,4666.643522,No,Premium,Bachelor,2/28/11,Employed,M,60466,Suburban,Married,117.0,14,3,0.0,1.0,Personal Auto,Personal L3,Offer2,Agent,784.186389,Four-Door Car,Large
2965,2,Oregon,5876.054314,No,Basic,College,9/2/2011,Employed,F,32848,Urban,Married,74.0,2,59,0.0,5.0,Personal Auto,Personal L2,Offer3,Call Center,250.454012,Four-Door Car,Medsize
2966,2,Oregon,8427.723769,No,Basic,Bachelor,2/28/11,Employed,M,20662,Suburban,Married,72.0,10,99,0.0,2.0,Personal Auto,Personal L1,Offer4,Agent,373.324673,Two-Door Car,Medsize
2967,1,Arizona,13023.9329,No,Premium,High School or Below,1/24/11,Employed,F,64985,Rural,Married,108.0,23,94,0.0,2.0,Personal Auto,Personal L3,Offer1,Web,16.425514,Two-Door Car,Small
2968,1,Oregon,8209.59982,No,Basic,High School or Below,11/2/2011,Employed,M,68022,Suburban,Married,103.0,3,26,0.0,3.0,Personal Auto,Personal L3,Offer4,Web,494.4,Sports Car,Small
2969,3,California,2464.238061,No,Basic,College,2/20/11,Employed,M,72834,Rural,Divorced,65.0,12,81,0.0,1.0,Corporate Auto,Corporate L3,Offer1,Call Center,91.941259,Four-Door Car,Medsize
2970,3,Washington,2727.520769,No,Basic,Doctor,1/14/11,Employed,F,74592,Suburban,Married,67.0,9,30,0.0,1.0,Personal Auto,Personal L1,Offer4,Agent,321.6,Two-Door Car,Medsize
2971,3,California,3086.013544,No,Extended,College,1/16/11,Employed,F,73938,Rural,Married,76.0,34,48,0.0,1.0,Personal Auto,Personal L3,Offer4,Call Center,53.095599,Two-Door Car,Medsize
2972,2,California,16414.039911750002,No,Extended,College,2/18/11,Disabled,M,15999,Suburban,Married,83.0,2,43,0.0,2.0,Personal Auto,Personal L3,Offer2,Branch,398.4,Four-Door Car,Medsize
2973,0,Oregon,4836.0542909999995,No,Basic,College,1/13/11,Unemployed,F,0,Suburban,Single,69.0,12,89,0.0,8.0,Personal Auto,Personal L1,Offer1,Agent,632.0814019999999,Four-Door Car,Small
2974,0,Oregon,6912.039629999999,No,Extended,College,1/21/11,Unemployed,M,0,Suburban,Married,96.0,11,55,0.0,5.0,Personal Auto,Personal L3,Offer2,Agent,460.8,Four-Door Car,Medsize
2975,0,California,2570.7617649999997,No,Basic,Master,1/1/2011,Unemployed,M,0,Suburban,Married,72.0,0,93,0.0,1.0,Personal Auto,Personal L3,Offer4,Call Center,345.6,Two-Door Car,Small
2976,0,Nevada,2991.696011,No,Extended,Bachelor,6/2/2011,Unemployed,F,0,Suburban,Single,80.0,9,96,0.0,1.0,Corporate Auto,Corporate L2,Offer2,Web,576.0,Four-Door Car,Small
2977,1,Nevada,8253.266591,No,Basic,High School or Below,1/31/11,Employed,F,62375,Urban,Married,103.0,35,71,0.0,3.0,Personal Auto,Personal L3,Offer4,Web,411.228571,SUV,Small
2978,1,Arizona,10477.77713,No,Extended,Doctor,1/23/11,Employed,M,61427,Suburban,Single,88.0,24,12,0.0,2.0,Personal Auto,Personal L3,Offer1,Branch,422.4,Four-Door Car,Large
2979,1,California,16373.7273,No,Basic,High School or Below,5/2/2011,Employed,M,64396,Urban,Married,103.0,2,46,0.0,2.0,Special Auto,Special L1,Offer4,Agent,355.409311,SUV,Medsize
2980,1,California,5184.94945,No,Basic,College,1/16/11,Employed,F,49312,Urban,Married,65.0,30,55,0.0,4.0,Corporate Auto,Corporate L1,Offer1,Branch,230.104769,Four-Door Car,Medsize
2981,0,California,10634.837109999999,No,Basic,High School or Below,8/2/2011,Unemployed,F,0,Suburban,Single,61.0,35,71,0.0,2.0,Personal Auto,Personal L3,Offer2,Agent,292.8,Two-Door Car,Medsize
2982,2,California,15114.402409999999,Yes,Basic,High School or Below,1/19/11,Medical Leave,F,28513,Suburban,Married,100.0,4,22,0.0,2.0,Personal Auto,Personal L1,Offer2,Call Center,480.0,SUV,Medsize
2983,0,California,11875.89915,No,Basic,High School or Below,1/23/11,Unemployed,M,0,Suburban,Married,108.0,23,55,0.0,2.0,Personal Auto,Personal L2,Offer2,Branch,518.4,SUV,Medsize
2984,3,California,4369.496687,No,Premium,College,1/25/11,Employed,M,97321,Rural,Single,110.0,35,46,0.0,1.0,Personal Auto,Personal L2,Offer1,Agent,74.74464300000001,Four-Door Car,Medsize
2985,1,California,7432.856752,No,Basic,College,1/15/11,Employed,F,58839,Rural,Single,65.0,4,65,0.0,2.0,Personal Auto,Personal L3,Offer1,Call Center,18.965718,Two-Door Car,Medsize
2986,0,Nevada,2558.7629309999998,No,Basic,High School or Below,11/1/2011,Unemployed,M,0,Suburban,Single,72.0,4,14,0.0,1.0,Corporate Auto,Corporate L3,Offer2,Agent,518.4,Four-Door Car,Medsize
2987,3,Nevada,5452.171237,No,Basic,Bachelor,1/2/2011,Employed,M,88567,Suburban,Married,67.0,9,89,0.0,8.5,Personal Auto,Personal L2,Offer1,Web,321.6,Four-Door Car,Medsize
2988,3,Nevada,2968.0775710000003,No,Basic,College,2/21/11,Employed,M,91646,Rural,Married,74.0,12,10,0.0,1.0,Corporate Auto,Corporate L1,Offer2,Branch,57.678779000000006,Two-Door Car,Medsize
2989,0,California,15700.28436,No,Extended,High School or Below,1/2/2011,Unemployed,M,0,Suburban,Married,170.5,31,52,0.0,5.0,Personal Auto,Personal L3,Offer1,Web,1012.8,Luxury SUV,Medsize
2990,1,Arizona,7477.176362,No,Extended,High School or Below,1/19/11,Employed,F,48552,Urban,Married,94.0,5,54,0.0,8.5,Corporate Auto,Corporate L3,Offer4,Call Center,262.746281,Four-Door Car,Medsize
2991,2,Oregon,9407.452895,No,Basic,Bachelor,7/1/2011,Employed,M,31485,Rural,Married,118.0,17,79,0.0,6.0,Personal Auto,Personal L2,Offer2,Agent,294.905685,SUV,Medsize
2992,0,Arizona,4428.038374000001,No,Basic,High School or Below,3/1/2011,Unemployed,M,0,Suburban,Single,64.0,6,47,0.0,8.0,Personal Auto,Personal L3,Offer3,Agent,628.801638,Four-Door Car,Small
2993,2,Arizona,10053.55227,No,Extended,College,2/28/11,Disabled,M,16511,Suburban,Single,135.0,35,4,0.0,5.0,Personal Auto,Personal L3,Offer2,Agent,972.0,SUV,Large
2994,1,California,2907.8988280000003,No,Basic,College,2/17/11,Employed,F,51020,Suburban,Divorced,73.0,16,88,0.0,1.0,Personal Auto,Personal L3,Offer2,Branch,350.4,Four-Door Car,Medsize
2995,1,California,7644.763153,No,Extended,College,1/31/11,Employed,M,43838,Suburban,Married,97.0,11,37,0.0,7.0,Corporate Auto,Corporate L2,Offer2,Web,465.6,Four-Door Car,Medsize
2996,0,Oregon,9709.746073,No,Extended,College,1/16/11,Unemployed,M,0,Suburban,Married,133.0,11,30,0.0,7.0,Corporate Auto,Corporate L3,Offer1,Agent,827.085431,SUV,Small
2997,2,Washington,8439.615236,No,Basic,Bachelor,1/26/11,Employed,M,22454,Suburban,Single,110.0,5,75,0.0,3.0,Personal Auto,Personal L3,Offer2,Agent,556.0970269999999,SUV,Medsize
2998,1,Arizona,4209.682602000001,No,Basic,Bachelor,2/24/11,Employed,F,57933,Suburban,Married,105.0,10,64,0.0,1.0,Personal Auto,Personal L3,Offer1,Call Center,533.255723,SUV,Small
2999,0,Nevada,8556.418397,No,Extended,College,9/1/2011,Unemployed,M,0,Suburban,Married,124.0,7,2,0.0,6.0,Personal Auto,Personal L3,Offer1,Branch,595.2,SUV,Small
3000,2,Arizona,16414.039911750002,No,Basic,College,1/23/11,Employed,F,26335,Urban,Married,113.0,32,7,0.0,2.0,Personal Auto,Personal L2,Offer1,Call Center,355.818306,SUV,Large
3001,3,Arizona,16265.586819999999,No,Extended,Bachelor,1/19/11,Employed,F,85322,Suburban,Married,134.0,32,55,0.0,2.0,Personal Auto,Personal L3,Offer1,Agent,735.491986,SUV,Medsize
3002,2,California,3624.9016119999997,No,Extended,High School or Below,10/1/2011,Employed,M,37843,Urban,Divorced,92.0,2,17,0.0,1.0,Personal Auto,Personal L3,Offer3,Agent,354.455466,Four-Door Car,Medsize
3003,0,Oregon,2519.918897,No,Basic,Bachelor,1/25/11,Unemployed,M,0,Suburban,Married,67.0,11,26,0.0,1.0,Personal Auto,Personal L2,Offer2,Branch,482.4,Four-Door Car,Medsize
3004,3,Arizona,4819.183706,No,Basic,College,2/2/2011,Employed,M,74730,Suburban,Single,61.0,18,84,0.0,6.0,Personal Auto,Personal L3,Offer2,Branch,421.235276,Four-Door Car,Small
3005,0,Oregon,3028.7801210000002,No,Extended,High School or Below,1/2/2011,Unemployed,M,0,Suburban,Single,94.0,27,52,0.0,1.0,Special Auto,Special L3,Offer1,Branch,483.88175199999995,Four-Door Car,Medsize
3006,0,Oregon,2316.796105,No,Basic,Bachelor,2/24/11,Unemployed,M,0,Suburban,Married,64.0,2,80,0.0,1.0,Personal Auto,Personal L2,Offer4,Branch,307.2,Four-Door Car,Medsize
3007,2,Oregon,13869.92705,Yes,Basic,College,1/21/11,Employed,M,28432,Suburban,Married,118.0,1,59,0.0,2.0,Personal Auto,Personal L2,Offer2,Branch,612.300581,SUV,Small
3008,3,Washington,16414.039911750002,Yes,Extended,College,2/13/11,Employed,F,71210,Suburban,Married,170.5,8,89,0.0,2.0,Personal Auto,Personal L1,Offer1,Branch,1027.2,Luxury Car,Small
3009,2,Arizona,2342.0138100000004,No,Basic,Bachelor,2/1/2011,Retired,M,19581,Suburban,Single,67.0,2,94,0.0,1.0,Corporate Auto,Corporate L2,Offer1,Agent,321.6,Four-Door Car,Large
3010,0,Oregon,2747.771656,No,Extended,Bachelor,1/16/11,Unemployed,M,0,Suburban,Single,80.0,12,14,0.0,1.0,Special Auto,Special L2,Offer3,Web,576.0,Two-Door Car,Medsize
3011,1,Oregon,5479.555081,Yes,Basic,Master,1/13/11,Employed,M,56005,Suburban,Married,68.0,31,30,0.0,3.0,Personal Auto,Personal L3,Offer1,Branch,326.4,Four-Door Car,Small
